## Report
〔bg=#BFBFBF,b〕TITLE	〔b〕REPORT TEST MATERIAL CD FROM NEW SUPPLIER GES TRADING _201507																〔bg=#BFBFBF,b〕Dept	〔b〕ME
																	〔bg=#BFBFBF,b〕Date	〔b〕28/Apr
																	〔bg=#BFBFBF,b〕Marker	〔b〕Le
〔bg=#BFBFBF,b〕I. Purpose.																		
 -  Test lot material CD from new supplier GES Trading OK or Not ?																		
〔bg=#BFBFBF,b〕II. Content.																		
TEST compare lot CD with other condition :																		
 + Plasma => PQC check dyne pen : 10EA																		
 + Test tension : 10EA																		
 + Test ass'y VP+CD check separate VP/CD 																		
 + Make sample and check funtion 																		
〔bg=#BFBFBF,b〕3.Result 																		
	〔b〕1. Result  Check Dyne Pen and Tension Test 																	
	〔bg=#B7DEE8,b〕No	〔bg=#B7DEE8,b〕Date 	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Input	〔bg=#B7DEE8,b〕OK 	〔bg=#B7DEE8,b〕Dyne Pen 40	〔bg=#B7DEE8,b〕Tension Test	〔bg=#B7DEE8,b〕Total NG 	〔bg=#B7DEE8,b〕NG Rate									
						〔bg=#B7DEE8,b〕NG 	〔bg=#B7DEE8,b〕NG 											
	1	4/28/2025	〔bg=#FDE9D9〕New Supplier   GES Trading 	〔bg=#FDE9D9〕10	〔bg=#FDE9D9〕10	〔bg=#FDE9D9〕0		〔bg=#FDE9D9〕0	〔bg=#FDE9D9,fg=#FF0000〕0.0%									
						〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%											
	2		Normal   ( Supplier Ralon)	5	5	0		0	〔fg=#FF0000〕0.0%									
						〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%											
	〔b〕2. Result  Check Separate VP/CD 																	
	〔bg=#B7DEE8,b〕No	〔bg=#B7DEE8,b〕Date 	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Input	〔bg=#B7DEE8,b〕OK 	〔bg=#B7DEE8,b〕NG separate VP/CD 	〔bg=#B7DEE8,b〕Total NG 											
	1	4/28/2025	〔bg=#FDE9D9〕New Supplier   GES Trading 	〔bg=#FDE9D9〕167	〔bg=#FDE9D9〕167	〔bg=#FDE9D9〕0	〔bg=#FDE9D9,fg=#FF0000〕0.0%											
	2		Normal   ( Supplier Ralon)	191	190.989528795812	2	〔fg=#FF0000〕1.0%											
	〔b〕3. Result check Function 																	
	〔bg=#B7DEE8,b〕No	〔bg=#B7DEE8,b〕Date Test	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Input	〔bg=#B7DEE8,b〕OK	〔bg=#B7DEE8,b〕Sigma 				〔bg=#B7DEE8,b〕Hearing		〔bg=#B7DEE8,b〕Total NG	〔bg=#B7DEE8,b〕NG Rate	〔bg=#B7DEE8,b〕Note				
						〔bg=#B7DEE8,b〕SPL 	〔bg=#B7DEE8,b〕THD 	〔bg=#B7DEE8,b〕SPL+THD 	〔bg=#B7DEE8,b〕SPL+THD+F0	〔bg=#B7DEE8,b〕Noise 	〔bg=#B7DEE8,b〕Touch 							
	1	4/28/2025	〔bg=#FDE9D9〕New Supplier   GES Trading 	〔bg=#FDE9D9〕166	〔bg=#FDE9D9〕145	〔bg=#FDE9D9〕1	〔bg=#FDE9D9〕1	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕2	〔bg=#FDE9D9〕19	〔bg=#FDE9D9〕21	〔bg=#FDE9D9,fg=#FF0000〕12.7%					
						〔bg=#FDE9D9,fg=#FF0000〕0.6%	〔bg=#FDE9D9,fg=#FF0000〕0.6%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕1.2%	〔bg=#FDE9D9,fg=#FF0000〕11.4%							
	2		Normal   (Supplier Ralon)	189	184	0	0	0	0	3	2	5	〔fg=#FF0000〕2.6%					
						〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕1.6%	〔fg=#FF0000〕1.1%							
	〔b〕3.Result check tension VP + CD ass'y ( Spec : 1.2kgf ) 																	
	〔bg=#B7DEE8,b〕Date Test	〔bg=#B7DEE8,b〕Line	〔bg=#B7DEE8,b〕Content 	〔bg=#B7DEE8,b〕Sample #1	〔bg=#B7DEE8,b〕Sample #2	〔bg=#B7DEE8,b〕Sample #3	〔bg=#B7DEE8,b〕Sample #4	〔bg=#B7DEE8,b〕Sample #5	〔bg=#B7DEE8,b〕Sample #6	〔bg=#B7DEE8,b〕Sample #7	〔bg=#B7DEE8,b〕Sample #8	〔bg=#B7DEE8,b〕Sample #9	〔bg=#B7DEE8,b〕Sample #10	〔bg=#B7DEE8,b〕Min	〔bg=#B7DEE8,b〕Max	〔bg=#B7DEE8,b〕Average	〔bg=#B7DEE8,b〕Note 	
	8/23/2025	C2-2A	New Supplier   GES Trading 	2.830	3.263	3.263	3.427	3.012	2.570	3.324	3.007	3.963	2.784	〔bg=#D8E4BC〕2.570	〔bg=#76933C〕3.963	〔bg=#B1A0C7〕3.144		
			Normal   ( Supplier Ralon)	3.230	3.231	3.089	2.820	2.840						〔bg=#D8E4BC〕2.820	〔bg=#76933C〕3.231	〔bg=#B1A0C7〕3.042		
	〔b〕5. Result Decap NG Sigma +Hearing 																	
〔bg=#BFBFBF,b〕4. Decision																		

## Decap NG
〔bg=#C0C0C0,b〕TITLE		〔b〕REPORT ANALYZE NG FUNCTION MODEL L20S15- 07DT																〔bg=#C0C0C0,b〕Dept	ME			
																		〔bg=#C0C0C0,b〕Date	28-Apr-25			
																		〔bg=#C0C0C0,b〕Maker	〔b〕Trang			
〔bg=#C0C0C0,b〕1. Problem																						
-NG function MSU L20S15 - 07DT																						
〔bg=#C0C0C0,b〕2. Result NG 																						
〔bg=#C0C0C0,b〕3. Result analysis NG Function																						
〔fg=#FF0000〕- Data analysis  Sigma +Hearing																						〔fg=#FFFFFF,b〕No
	〔b〕TYPE				〔b〕Total	〔b〕Q'ty	〔b〕Portion	〔b〕Decap reason														
	Coil offset				15	4	26.7%															
	Particle ( NG Sigma)					1	6.7%															
	Don't know reason 					10	66.7%															
〔bg=#C0C0C0,b〕4. DECISION																						
			〔b〕RESULT ANALYSE NG FUNCTION OF MSU- L20S15 - 07DT       																			
			〔bg=#C5D9F1〕No	〔bg=#C5D9F1〕Reason NG	〔bg=#C5D9F1〕Q'ty analyse	〔bg=#C5D9F1〕Q'ty NG		〔bg=#C5D9F1,fg=#FF0000〕NG rate	〔bg=#C5D9F1〕Portion													
			1	Coil offset	15	4		〔fg=#FF0000〕0.266666666666667	〔fg=#FF0000〕0.266666666666667													
			2	Particle ( NG Sigma)		1		〔fg=#FF0000〕0.0666666666666667	〔fg=#FF0000〕0.0666666666666667													
			3	Don't know reason 		10		〔fg=#FF0000〕0.666666666666667	〔fg=#FF0000〕0.666666666666667													

## NTI_종합
〔b〕MASK	
HZ	%
100	90
240	42
312	35
500	25
1000	10
2000	8
4500	6
7000	10
14000	8

## SPL DATA_(NTI
	〔fg=#0000FF,b〕MASK 1	〔fg=#0000FF,b〕MASK 2	〔fg=#0000FF,b〕 ST 		〔fg=#0000FF,b〕Test GES #1	〔fg=#0000FF,b〕Test GES #2	〔fg=#0000FF,b〕Test GES #3	〔fg=#0000FF,b〕Test GES #4	〔fg=#0000FF,b〕Test GES #5	〔fg=#0000FF,b〕Test GES #6	〔fg=#0000FF,b〕Test GES #7	〔fg=#0000FF,b〕Test GES #8	〔fg=#0000FF,b〕Test GES #9	〔fg=#0000FF,b〕Test GES #10	〔fg=#FF0000,b〕Test GES AVG		〔fg=#0000FF,b〕Normal #1	〔fg=#0000FF,b〕Normal #2	〔fg=#0000FF,b〕Normal #3	〔fg=#0000FF,b〕Normal #4	〔fg=#0000FF,b〕Normal #5	〔fg=#0000FF,b〕Normal #6	〔fg=#0000FF,b〕Normal #7	〔fg=#0000FF,b〕Normal #8	〔fg=#0000FF,b〕Normal #9	〔fg=#0000FF,b〕Normal #10	〔fg=#FF0000,b〕Normal AVG
3750	116.10775	110.10775	113.10775		113.62063	113.56511	113.54983	113.62204	113.50261	113.60073	113.68781	113.69018	113.56141	113.59248	113.59928		113.67766	113.50073	113.52721	113.62343	113.54547	113.47999	113.49303	113.43575	113.61001	113.50731	113.54006
4000	115.95910	109.95910	112.9591		113.4948	113.41734	113.40367	113.48661	113.36035	113.45299	113.53853	113.54502	113.42824	113.44952	113.45771		113.53136	113.36717	113.38267	113.48192	113.40865	113.32938	113.33628	113.29731	113.4708	113.36311	113.39687
4250	115.57046	109.57046	112.57046		113.13009	113.0292	113.01066	113.11249	112.97883	113.06148	113.15035	113.15174	113.05766	113.06421	113.07467		113.15866	112.98739	112.98988	113.10723	113.02703	112.93933	112.93497	112.9148	113.08623	112.97578	113.01213
4500	115.24800	109.24800	112.248		112.85352	112.75592	112.72837	112.83581	112.69772	112.7694	112.87022	112.86715	112.78905	112.76424	112.79314		112.89742	112.71093	112.69709	112.86335	112.74511	112.66135	112.61974	112.63407	112.80681	112.70326	112.73391
4750	115.20902	109.20902	112.20902		112.83911	112.78291	112.78085	112.83211	112.68706	112.80553	112.90121	112.91947	112.84727	112.79987	112.81954		112.93982	112.74034	112.7389	112.92066	112.76962	112.69836	112.67024	112.65537	112.81777	112.72198	112.76731
5000	115.28268	109.28268	112.28268		112.91928	112.87936	112.87025	112.91895	112.77824	112.89407	112.99281	113.00496	112.92777	112.87825	112.90639		113.03554	112.81164	112.81961	112.97561	112.84485	112.79948	112.75652	112.71653	112.87496	112.80003	112.84348
5300	115.65481	109.65481	112.65481		113.2107	113.21612	113.18773	113.22774	113.12157	113.20337	113.29709	113.30054	113.24538	113.19712	113.22074		113.34968	113.06786	113.12351	113.22908	113.15355	113.17232	113.10012	113.0153	113.14998	113.12892	113.14903
5600	116.56879	110.56879	113.56879		113.98215	114.02203	113.97468	114.00331	113.95713	113.97555	114.0618	114.06292	114.03849	113.99181	114.00699		114.11657	113.78106	113.90795	113.92552	113.963	114.04691	113.93248	113.80606	113.90929	113.96337	113.93522
6000	117.79197	111.79197	114.79197		115.13069	115.18474	115.13309	115.15143	115.15742	115.11456	115.18115	115.20049	115.17893	115.14463	115.15771		115.20295	114.89162	115.07808	114.9881	115.1461	115.24845	115.12834	114.96318	115.05419	115.15923	115.08602
6300	118.94022	112.94022	115.94022		116.36136	116.40276	116.35987	116.38706	116.43425	116.3346	116.38086	116.40297	116.37411	116.34872	116.37866		116.30603	116.10238	116.32164	116.14981	116.36564	116.44825	116.34505	116.16605	116.28313	116.37954	116.28675
6700	119.96691	113.96691	116.96691		117.47329	117.50151	117.47552	117.49014	117.56177	117.46542	117.46402	117.49463	117.4607	117.44198	117.48290		117.27471	117.18191	117.42595	117.21589	117.43	117.4763	117.41252	117.24805	117.3788	117.44156	117.34857
7100	120.49765	114.49765	117.49765		118.04796	118.08517	118.07595	118.03964	118.14633	118.04504	118.00001	118.07021	117.98541	118.00464	118.05004		117.74748	117.81889	118.05077	117.82729	118.00874	117.98025	117.97373	117.8419	117.9706	117.99319	117.92128
7500	120.68763	114.68763	117.68763		118.24671	118.26274	118.27329	118.18938	118.30664	118.20663	118.14891	118.25677	118.11472	118.18245	118.21882		117.8084	118.08813	118.30647	118.09704	118.22742	118.11023	118.18125	118.07902	118.21165	118.18485	118.12945
8000	120.92591	114.92591	117.92591		118.36458	118.34774	118.36015	118.23489	118.3619	118.26305	118.1967	118.351	118.19168	118.27359	118.29453		117.78482	118.20653	118.42142	118.23152	118.31663	118.13653	118.25037	118.18225	118.311	118.22802	118.20691
8500	121.25957	115.25957	118.25957		118.46231	118.42571	118.39738	118.24084	118.38842	118.32226	118.23254	118.41326	118.30026	118.32846	118.35114		117.78493	118.24906	118.47594	118.26971	118.37066	118.15056	118.25412	118.20348	118.32623	118.18722	118.22719
9000	121.57687	115.57687	118.57687		118.60027	118.53568	118.49744	118.27812	118.48564	118.42709	118.3058	118.49847	118.42242	118.43542	118.44863		117.78044	118.27843	118.55746	118.31717	118.47975	118.17706	118.31834	118.24305	118.36526	118.19072	118.27077
9500	122.02115	116.02115	119.02115		118.92747	118.79204	118.82811	118.49028	118.79723	118.70151	118.54804	118.72778	118.67395	118.73913	118.72255		117.81787	118.25087	118.66552	118.43755	118.63195	118.25925	118.45946	118.36215	118.46369	118.28721	118.36355
10000	122.23207	116.23207	119.23207		118.97717	118.86663	118.9799	118.5459	118.87857	118.69244	118.61186	118.81242	118.75029	118.82851	118.79437		117.74694	117.9782	118.43446	118.36308	118.41557	118.19409	118.22754	118.24784	118.22789	118.14198	118.19776
10600	124.70315	112.70315	118.70315		118.4472	118.44659	118.53759	118.16877	118.32282	118.15006	118.22905	118.47908	118.43203	118.38801	118.36012		117.3444	117.37239	117.78553	117.94953	117.74758	117.80734	117.51467	117.74642	117.56775	117.61703	117.64526
11200	123.94409	111.94409	117.94409		117.56336	117.70198	117.7446	117.5381	117.40881	117.28636	117.54068	117.89604	117.88388	117.67114	117.62350		116.78302	116.66462	116.97788	117.39	116.92571	117.25737	116.68549	117.08606	116.77993	116.92527	116.94754
11800	123.73310	111.73310	117.7331		116.77678	117.0614	117.02603	117.08452	116.60024	116.54388	116.9755	117.40725	117.52769	117.02423	117.00275		116.58903	116.35083	116.47845	117.09176	116.43646	117.03899	116.22261	116.69456	116.33363	116.52289	116.57592
12500	124.08777	112.08777	118.08777		116.4411	116.85459	116.64044	117.13531	116.23106	116.34908	116.90779	117.28054	117.48887	116.65505	116.79838		116.97867	116.75938	116.69202	117.32128	116.65391	117.45226	116.47993	116.91269	116.51306	116.74515	116.85084
13200	124.01660	112.01660	118.0166		116.12989	116.63071	116.21451	117.08002	115.83492	116.17976	116.77614	117.15924	117.50079	116.36046	116.58664		117.17454	116.99862	116.82108	117.39629	116.77434	117.61463	116.59965	116.96326	116.63379	116.80141	116.97776
14000	124.70653	112.70653	118.70653		116.39337	116.83986	116.37003	117.40225	116.13876	116.58458	117.02989	117.34219	117.79707	116.5436	116.84416		117.6651	117.60711	117.42368	117.79456	117.41871	118.06163	117.30093	117.40199	117.23063	117.24514	117.51495
			PASSED		PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED			PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	PASSED	
19000	#REF!																										
20000	#REF!																										

## THD DATA_(NTI
	〔fg=#0000FF,b〕 ST 		〔fg=#0000FF,b〕Test GES #1	〔fg=#0000FF,b〕Test GES #2	〔fg=#0000FF,b〕Test GES #3	〔fg=#0000FF,b〕Test GES #4	〔fg=#0000FF,b〕Test GES #5	〔fg=#0000FF,b〕Test GES #6	〔fg=#0000FF,b〕Test GES #7	〔fg=#0000FF,b〕Test GES #8	〔fg=#0000FF,b〕Test GES #9	〔fg=#0000FF,b〕Test GES #10	〔fg=#FF0000,b〕Test GES AVG		〔fg=#0000FF,b〕Normal #1	〔fg=#0000FF,b〕Normal #2	〔fg=#0000FF,b〕Normal #3	〔fg=#0000FF,b〕Normal #4	〔fg=#0000FF,b〕Normal #5	〔fg=#0000FF,b〕Normal #6	〔fg=#0000FF,b〕Normal #7	〔fg=#0000FF,b〕Normal #8	〔fg=#0000FF,b〕Normal #9	〔fg=#0000FF,b〕Normal #10	〔fg=#FF0000,b〕Normal AVG
100	20.81513		28.11015	26.56903	26.99705	28.64794	29.70978	27.17815	27.07569	29.39562	26.10725	28.24536	27.60041		23.66929	27.55458	27.32881	27.93791	26.49568	28.90738	28.1353	28.43022	30.10633	28.59862	28.83557
106	21.09009		28.51312	26.91293	27.40883	29.02927	30.1117	27.61177	27.47336	29.80801	26.46473	28.70661	28.01290		24.06577	27.85229	27.67369	28.33239	26.87481	29.2949	28.56735	28.78902	30.50746	29.04332	29.24041
112	21.33376		28.75762	27.17889	27.75295	29.33764	30.40082	27.94818	27.77711	30.13642	26.79049	29.03249	28.33694		24.36693	28.07991	27.93831	28.59807	27.13984	29.61558	28.9052	29.14292	30.80034	29.28323	29.54945
118	21.5371		28.98718	27.41323	28.0663	29.62854	30.68261	28.25333	28.05159	30.45855	27.09098	29.31384	28.63366		24.66353	28.27245	28.17856	28.86827	27.44531	29.83799	29.23361	29.44168	31.06968	29.53541	29.82367
125	21.78065		29.28665	27.70743	28.48841	29.99984	31.05245	28.61802	28.35476	30.8247	27.39718	29.61217	28.96137		24.99408	28.55236	28.4843	29.18428	27.78495	30.1737	29.6034	29.74155	31.38578	29.89369	30.15962
132	22.37138		29.92552	28.3724	29.31446	30.81279	31.79842	29.39046	29.05403	31.37143	28.03418	30.26078	29.62218		25.67565	29.14648	29.1267	29.83845	28.51193	30.88446	30.35998	30.44241	32.1167	30.6308	30.88687
140	23.10499		30.69326	29.21165	30.21144	31.75009	32.80192	30.42966	29.94627	32.02059	28.77962	31.01941	30.43911		26.5415	29.99701	29.99603	30.67742	29.4369	31.81612	31.30572	31.36726	33.09972	31.58016	31.83380
150	23.97593		31.48754	30.11994	31.08456	32.76401	33.95698	31.58069	30.97534	32.53579	29.47387	31.50945	31.21503		27.37821	30.98106	30.8973	31.61342	30.4433	32.86483	32.29123	32.38478	34.24298	32.58515	32.87379
160	24.74084		32.00503	30.72929	31.57905	33.56092	34.72337	32.3743	31.65796	32.67078	29.82995	31.30482	31.56756		27.77288	31.72057	31.47479	32.21384	31.0915	33.57199	32.7782	33.08333	35.06032	33.21866	33.54250
170	25.48606		32.48769	31.27725	32.09364	34.33665	35.45621	33.12018	32.34312	32.76297	30.08107	30.89995	31.84146		28.0655	32.49226	32.09595	32.91476	31.73839	34.31749	33.27668	33.84487	36.01437	33.76799	34.24428
180	26.00628		32.80392	31.6045	32.42853	34.89488	35.96532	33.61223	32.76427	32.6557	30.10786	30.23126	31.87426		28.17211	33.12832	32.57552	33.46125	32.24332	34.90412	33.59564	34.47507	36.84963	34.1342	34.79173
190	26.21695		32.90505	31.65787	32.48834	35.14228	36.21907	33.77621	32.8796	32.34482	29.83381	29.35094	31.63708		28.07873	33.55299	32.85277	33.81456	32.51989	35.30173	33.68353	34.84284	37.46135	34.35071	35.12803
200	26.1214		32.73276	31.44953	32.26862	35.04596	36.12847	33.60333	32.68426	31.81111	29.3177	28.29243	31.14177		27.73443	33.71739	32.86752	33.87015	32.4598	35.44984	33.4748	34.94156	37.75164	34.29064	35.18170
212	25.59263		32.08634	30.77954	31.48788	34.34048	35.44567	32.85999	31.99102	30.82312	28.38188	26.92404	30.19601		26.9902	33.42318	32.43356	33.4828	31.8676	35.04769	32.73924	34.60085	37.49044	33.66878	34.70940
224	24.6623		30.97816	29.63142	30.24774	33.00776	34.16553	31.54008	30.77729	29.48025	27.11333	25.48121	28.87843		25.92131	32.61146	31.51312	32.59581	30.76096	34.00088	31.45846	33.63261	36.49956	32.5039	33.61908
236	23.38778		29.44599	28.02067	28.60456	31.16565	32.28752	29.68457	29.0673	27.875	25.47314	23.92514	27.20503		24.5718	31.28292	30.13781	31.23897	29.1158	32.34273	29.66708	32.07164	34.80254	30.79517	31.93583
250	21.70533		27.4631	25.95021	26.55002	28.82986	29.8657	27.30718	26.85766	26.00635	23.48635	22.25973	25.18345		23.01516	29.56064	28.44159	29.44767	27.0498	30.11617	27.43167	30.00676	32.47379	28.60835	29.72735
265	19.95825		25.42332	23.85558	24.46872	26.3447	27.42081	24.8672	24.58591	24.17689	21.51301	20.83221	23.19504		21.56531	27.7457	26.69813	27.58196	24.95302	27.79341	25.22209	27.86198	29.97676	26.3956	27.44997
280	18.0886		23.19009	21.63544	22.22792	23.67934	24.86467	22.30538	22.18962	22.18131	19.55997	19.48216	21.14369		20.04076	25.67716	24.71862	25.43779	22.67693	25.27434	22.89799	25.48225	27.19115	24.0724	24.98363
300	15.73684		20.27768	18.8615	19.37739	20.29853	21.61753	19.09725	19.15763	19.66895	17.18053	17.92147	18.60517		18.03876	22.85526	22.0139	22.51686	19.69596	21.94595	19.8689	22.24964	23.47501	21.03775	21.71545
315	14.20246		18.29778	17.02147	17.46946	18.02668	19.40392	16.99065	17.14467	17.99428	15.68566	17.01099	16.96525		16.64373	20.82747	20.07135	20.43315	17.64264	19.58953	17.79123	19.95993	20.85341	18.93421	19.42566
335	12.53185		16.00014	14.90485	15.28493	15.42264	16.86701	14.60817	14.85113	16.09347	14.04594	16.12193	15.14413		15.00914	18.34114	17.72936	17.93357	15.26321	16.77846	15.38012	17.21219	17.73195	16.42114	16.70477
355	11.21668		14.09295	13.14634	13.54395	13.33638	14.81751	12.71179	12.97729	14.60653	12.77946	15.41541	13.69810		13.63325	16.19159	15.71027	15.80897	13.37544	14.43723	13.4301	14.89852	15.1681	14.35282	14.45735
375	10.17095		12.59178	11.76398	12.21249	11.73896	13.24551	11.28356	11.49345	13.51432	11.79649	14.82567	12.58270		12.49541	14.40253	14.07513	14.08759	11.90934	12.63326	11.94914	13.07362	13.20385	12.7495	12.72187
400	9.22029		11.2335	10.56947	11.07983	10.41186	11.94101	10.12136	10.18015	12.61023	10.92273	14.38619	11.64413		11.45288	12.69954	12.54339	12.48795	10.69044	11.12898	10.78573	11.46819	11.56147	11.41406	11.27169
425	8.53757		10.20825	9.75243	10.22515	9.52137	11.08075	9.3767	9.27663	11.87785	10.30418	14.06108	10.97929		10.63979	11.38044	11.3677	11.26665	9.84355	10.15398	10.04325	10.35691	10.46511	10.58171	10.32019
450	8.00169		9.39259	9.15828	9.49222	8.88654	10.42172	8.84643	8.61128	11.21331	9.84516	13.59051	10.42134		9.94064	10.34408	10.43082	10.25504	9.17546	9.46364	9.46768	9.52225	9.67322	10.0134	9.62804
475	7.52418		8.72238	8.66863	8.87472	8.36281	9.83595	8.40571	8.05321	10.60805	9.4192	12.99972	9.89718		9.29024	9.48145	9.6277	9.40478	8.60041	8.89728	8.93086	8.84851	9.04598	9.52492	9.04951
500	7.08235		8.14322	8.20266	8.30555	7.87806	9.27691	7.99356	7.54095	10.03929	8.97115	12.34701	9.37839		8.67476	8.72189	8.92163	8.68102	8.06129	8.34866	8.40189	8.2703	8.4884	9.04829	8.51151
530	6.57855		7.52056	7.67173	7.68124	7.34355	8.64243	7.5007	6.97874	9.3485	8.39261	11.50758	8.74563		8.00381	7.94773	8.18949	7.94737	7.47847	7.74958	7.81956	7.68395	7.91381	8.46879	7.92714
560	6.17518		7.01116	7.24012	7.14608	6.91936	8.1074	7.10434	6.53007	8.68615	7.85741	10.68155	8.17190		7.48182	7.35874	7.62735	7.36731	7.00618	7.27351	7.34803	7.23134	7.44702	7.98487	7.45695
600	5.78885		6.49278	6.842	6.55813	6.51663	7.56435	6.71177	6.13644	7.8622	7.22037	9.60501	7.50716		6.98787	6.83024	7.12397	6.81966	6.54735	6.85028	6.8907	6.84071	7.01772	7.4895	7.01778
630	5.56687		6.16624	6.60933	6.18609	6.29506	7.24077	6.46878	5.93069	7.28857	6.81732	8.78152	7.05738		6.67557	6.55927	6.82234	6.4918	6.26026	6.61937	6.60315	6.62972	6.76698	7.1911	6.76206
670	5.26502		5.78125	6.27518	5.72985	5.98591	6.80458	6.12253	5.67155	6.5756	6.36599	7.6041	6.46795		6.18414	6.19939	6.40128	6.06701	5.85786	6.29414	6.17941	6.33432	6.42912	6.7601	6.39942
710	4.9389		5.45777	5.91318	5.37186	5.66205	6.33436	5.7395	5.37355	6.03885	5.9473	6.55024	5.92989		5.67464	5.8108	5.96001	5.66673	5.45559	5.93394	5.73657	6.00397	6.07051	6.26619	6.00224
750	4.60198		5.17011	5.54037	5.11097	5.32241	5.88074	5.34925	5.05168	5.6462	5.53561	5.8123	5.47901		5.21922	5.3889	5.52756	5.30928	5.10871	5.55261	5.34957	5.65163	5.70375	5.75062	5.60164
800	4.17407		4.7662	5.03637	4.71568	4.86368	5.32467	4.83161	4.62316	5.16499	5.00477	5.15222	4.95535		4.7109	4.84348	5.00574	4.84371	4.67835	5.06903	4.91446	5.16682	5.19619	5.14159	5.09762
850	3.79436		4.37741	4.58995	4.33258	4.44905	4.83545	4.37207	4.24321	4.71522	4.53806	4.6538	4.50447		4.3028	4.38125	4.55755	4.41313	4.30109	4.67745	4.55506	4.72923	4.72358	4.66387	4.66984
900	3.50277		4.06242	4.24318	4.01237	4.11332	4.4455	4.01575	3.94289	4.36323	4.1728	4.27911	4.15476		3.99847	4.02619	4.21495	4.06324	3.99725	4.37082	4.26073	4.37733	4.33394	4.31877	4.33232
950	3.22151		3.7528	3.91122	3.70235	3.78559	4.08123	3.67623	3.64754	4.03826	3.82738	3.93656	3.82519		3.69577	3.707	3.88537	3.73538	3.69696	4.08375	3.9618	4.04667	3.97903	4.01104	4.01646
1000	2.93046		3.4231	3.55748	3.37949	3.44648	3.71283	3.33292	3.32516	3.69158	3.47733	3.58927	3.48325		3.3679	3.37333	3.54327	3.38437	3.37273	3.7581	3.63513	3.69443	3.61064	3.69921	3.67950
1060	2.56325		3.01803	3.11666	2.97076	3.02665	3.26675	2.9034	2.91146	3.25276	3.0459	3.16111	3.05493		2.95058	2.94498	3.10979	2.94859	2.96812	3.32981	3.21569	3.25758	3.15498	3.28876	3.24936
1120	2.24237		2.65414	2.74101	2.61098	2.65935	2.87391	2.53374	2.54992	2.86791	2.67265	2.78927	2.68270		2.59284	2.57964	2.73994	2.5818	2.60512	2.95785	2.83539	2.87748	2.76242	2.92412	2.87145
1180	1.97395		2.34445	2.42537	2.30635	2.34888	2.54685	2.22408	2.24894	2.53487	2.35905	2.47202	2.36779		2.2849	2.2675	2.42062	2.27061	2.30326	2.63313	2.51166	2.54815	2.43264	2.60067	2.54525
1250	1.67374		1.99335	2.06997	1.96574	1.99563	2.18487	1.88243	1.91284	2.16045	2.00455	2.11699	2.01545		1.93879	1.91897	2.06245	1.91993	1.95478	2.26217	2.1447	2.1849	2.07446	2.23752	2.18075
1320	1.44873		1.74001	1.81538	1.71912	1.74257	1.92116	1.63924	1.66513	1.89601	1.74713	1.86094	1.76169		1.68551	1.6661	1.80289	1.67395	1.70256	1.99369	1.87755	1.92318	1.81263	1.97395	1.91620
1400	1.27823		1.54769	1.62526	1.53577	1.55113	1.72009	1.4524	1.47362	1.69824	1.55701	1.66975	1.57020		1.49805	1.47515	1.60965	1.48783	1.51762	1.79443	1.67793	1.72739	1.61094	1.7692	1.71598
1500	1.09143		1.34024	1.41681	1.3384	1.34859	1.50784	1.24726	1.26881	1.48318	1.34698	1.45754	1.36075		1.29205	1.27077	1.41199	1.28619	1.31749	1.5793	1.4637	1.51139	1.39157	1.54971	1.49913
1600	0.94918		1.16996	1.24043	1.17234	1.18667	1.34278	1.07774	1.10004	1.29834	1.17069	1.28127	1.18562		1.12439	1.09252	1.25195	1.11097	1.16204	1.41326	1.28601	1.33782	1.21233	1.38078	1.32604
1700	0.83833		1.03881	1.10667	1.04381	1.06057	1.2147	0.95034	0.97388	1.15918	1.03543	1.1467	1.05311		0.99583	0.95961	1.1208	0.98658	1.04207	1.28627	1.14733	1.20807	1.07932	1.25356	1.19491
1800	0.74799		0.92745	0.99603	0.93875	0.95102	1.10112	0.84975	0.87186	1.04811	0.92479	1.03654	0.94621		0.88828	0.85453	1.01256	0.88651	0.93875	1.17369	1.03045	1.09549	0.97055	1.13905	1.08185
1900	0.66626		0.81947	0.88519	0.83343	0.84623	0.98827	0.75053	0.7695	0.93656	0.81565	0.92597	0.83964		0.78492	0.75368	0.90438	0.78625	0.83768	1.05269	0.91494	0.9811	0.86064	1.0193	0.96573
