NAME: 17.1 BRS-161014 C2+E2  Report test Center Dome improve bending of Ralon vender 16.2.2024

---CONTENT---
## NG rate
〔bg=#BFBFBF,b〕TITLE	〔b〕REPORT TEST CD  IMPROVE  BENDING OF RALON VENDER   BRS - 161014												〔bg=#BFBFBF,b〕Dept	〔b〕ME
	C2	〔bg=#FFFF00〕Test CD supplier Ralon	〔bg=#FFFF00〕107	〔bg=#FFFF00〕103	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00〕0	〔bg=#FFFF00〕4	〔bg=#FFFF00,fg=#FF0000,b〕3.7%		
					〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕0.0%	〔bg=#FFFF00,fg=#FF0000〕3.7%	〔bg=#FFFF00,fg=#FF0000〕0.0%				
		Normal CD supplier GES 	107	103	0	0	0	0	4	0	4	〔fg=#FF0000,b〕3.7%		
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕3.7%	〔fg=#FF0000〕0.0%				
	〔bg=#FDE9D9,fg=#0000FF,b〕Total C2+E2	〔bg=#FDE9D9〕Test CD supplier Ralon	〔bg=#FDE9D9〕210	〔bg=#FDE9D9〕202	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕8	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕8	〔bg=#FDE9D9,fg=#FF0000,b〕3.8%		
					〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕3.8%	〔bg=#FDE9D9,fg=#FF0000〕0.0%				
		〔bg=#FDE9D9〕Normal CD supplier GES 	〔bg=#FDE9D9〕212	〔bg=#FDE9D9〕208	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕4	〔bg=#FDE9D9〕0	〔bg=#FDE9D9〕4	〔bg=#FDE9D9,fg=#FF0000,b〕1.9%		
					〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕0.0%	〔bg=#FDE9D9,fg=#FF0000〕1.9%	〔bg=#FDE9D9,fg=#FF0000〕0.0%				
〔bg=#BFBFBF,b〕4. Decision														
〔fg=#FF0000〕 NG still high => Can not use														
